epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1070.57,1.3157,1.35416,1.63196,0.81769,0.70172,0.79819,0.57371,1.04327,1.04,1.36723,0.00055526,0.00055526,0.00055526
2,2137.65,1.30121,1.29974,1.60511,0.74029,0.68497,0.81873,0.58793,1.04662,1.17158,1.36365,0.00110984,0.00110984,0.00110984
3,3247.18,1.30548,1.28982,1.60793,0.87669,0.80561,0.8833,0.63616,1.06234,0.91901,1.34914,0.00166009,0.00166009,0.00166009
4,4335.05,1.28023,1.24418,1.57738,0.77486,0.78859,0.84271,0.63212,0.95353,1.03897,1.32043,0.00165238,0.00165238,0.00165238
5,5402.79,1.23918,1.18699,1.54942,0.88982,0.78446,0.8767,0.65981,0.92606,0.83555,1.28523,0.00164108,0.00164108,0.00164108
6,6442.89,1.21654,1.14698,1.53471,0.87343,0.83315,0.89352,0.69007,0.9161,0.77148,1.27951,0.00162661,0.00162661,0.00162661
7,7480.28,1.19653,1.12888,1.51183,0.87258,0.83275,0.88383,0.68116,0.91564,0.77546,1.27108,0.00160905,0.00160905,0.00160905
8,8519.39,1.18573,1.11305,1.50749,0.908,0.78043,0.86591,0.63774,0.99086,0.87163,1.28093,0.00158847,0.00158847,0.00158847
9,9635.07,1.16055,1.0845,1.48937,0.89022,0.79208,0.88887,0.68105,0.91212,0.80753,1.25904,0.00156493,0.00156493,0.00156493
10,11063.4,1.13362,1.05021,1.46613,0.90054,0.85617,0.91103,0.71945,0.86075,0.69612,1.21927,0.00153854,0.00153854,0.00153854
11,12306.2,1.12778,1.04229,1.46904,0.90372,0.84771,0.9215,0.72989,0.8848,0.68635,1.25083,0.00150941,0.00150941,0.00150941
12,13620.4,1.11534,1.02163,1.45145,0.90748,0.80478,0.91383,0.72763,0.83644,0.68672,1.23789,0.00147764,0.00147764,0.00147764
13,14894.8,1.09711,1.00945,1.44711,0.83567,0.81422,0.87104,0.70351,0.84208,0.76497,1.22537,0.00144335,0.00144335,0.00144335
14,16175.5,1.08473,0.97081,1.43241,0.88942,0.81278,0.88947,0.7138,0.82796,0.72703,1.21772,0.0014067,0.0014067,0.0014067
15,17366.6,1.07492,0.96327,1.43703,0.86626,0.86675,0.89306,0.72662,0.79486,0.68781,1.19846,0.00136781,0.00136781,0.00136781
16,18690.6,1.07758,0.95911,1.43747,0.89339,0.84574,0.89538,0.70869,0.81387,0.68534,1.1974,0.00132685,0.00132685,0.00132685
17,19974.3,1.05717,0.93406,1.41846,0.91508,0.84657,0.91399,0.74462,0.76536,0.63431,1.17571,0.00128398,0.00128398,0.00128398
18,21214.6,1.05143,0.94662,1.41638,0.91575,0.87066,0.9209,0.75102,0.78363,0.6291,1.18491,0.00123936,0.00123936,0.00123936
19,22499.9,1.05413,0.90764,1.4062,0.88408,0.85989,0.91443,0.7493,0.76098,0.6601,1.15803,0.00119317,0.00119317,0.00119317
20,23564.3,1.02898,0.90838,1.39294,0.90482,0.89657,0.93799,0.76031,0.76948,0.5794,1.17429,0.0011456,0.0011456,0.0011456
21,24619.2,1.02149,0.88526,1.39007,0.93432,0.86739,0.92552,0.76625,0.7519,0.58035,1.15224,0.00109683,0.00109683,0.00109683
22,25674.9,1.01363,0.88631,1.38764,0.88504,0.88365,0.92042,0.77071,0.74385,0.61069,1.15325,0.00104705,0.00104705,0.00104705
23,26891.1,1.01008,0.874,1.38801,0.92993,0.8876,0.94546,0.78333,0.74653,0.54409,1.15964,0.000996456,0.000996456,0.000996456
24,28167.6,0.99931,0.86484,1.37116,0.90362,0.87177,0.91511,0.75785,0.73586,0.59099,1.14383,0.000945256,0.000945256,0.000945256
25,29419.8,0.99393,0.85237,1.37508,0.93199,0.87401,0.92372,0.76867,0.75615,0.58284,1.15818,0.000893648,0.000893648,0.000893648
26,30568.3,0.98879,0.83856,1.36743,0.94801,0.86521,0.94083,0.78184,0.73123,0.54648,1.12741,0.000841835,0.000841835,0.000841835
27,31743.1,0.97888,0.83231,1.36165,0.93565,0.92111,0.94978,0.79303,0.70644,0.49976,1.12006,0.000790022,0.000790022,0.000790022
28,32990.3,0.97115,0.82377,1.35566,0.95293,0.9084,0.95,0.79884,0.7038,0.49446,1.12347,0.000738414,0.000738414,0.000738414
29,34225.8,0.96312,0.8236,1.34879,0.89708,0.90232,0.94581,0.79166,0.70143,0.52427,1.11782,0.000687214,0.000687214,0.000687214
30,35554.4,0.96233,0.81218,1.34639,0.91354,0.89795,0.94137,0.79074,0.71348,0.51859,1.12036,0.000636625,0.000636625,0.000636625
31,36838.5,0.9569,0.80167,1.33392,0.95403,0.91494,0.96144,0.80996,0.69308,0.47015,1.10512,0.000586845,0.000586845,0.000586845
32,38062.4,0.94598,0.79023,1.33426,0.92017,0.91409,0.95622,0.81042,0.69088,0.48537,1.11086,0.000538072,0.000538072,0.000538072
33,39163.5,0.92491,0.7746,1.32072,0.95901,0.88511,0.94781,0.80756,0.68995,0.50207,1.10396,0.000490497,0.000490497,0.000490497
34,40227.4,0.93276,0.77532,1.3271,0.94366,0.88043,0.94558,0.80042,0.67926,0.51615,1.09278,0.000444309,0.000444309,0.000444309
35,41452.9,0.9261,0.76297,1.32423,0.92478,0.93871,0.95594,0.80571,0.69028,0.45682,1.10464,0.000399689,0.000399689,0.000399689
36,42613.7,0.91189,0.76177,1.31273,0.94141,0.9227,0.95714,0.80738,0.67476,0.4758,1.10321,0.000356815,0.000356815,0.000356815
37,43754.8,0.89289,0.74523,1.30111,0.96185,0.93009,0.9593,0.8198,0.66915,0.45757,1.09348,0.000315855,0.000315855,0.000315855
38,44870.1,0.89608,0.74125,1.30459,0.96259,0.91339,0.95837,0.81469,0.67261,0.46381,1.09411,0.000276971,0.000276971,0.000276971
39,46011.2,0.88827,0.72872,1.29666,0.94647,0.94904,0.96302,0.81745,0.67151,0.43456,1.09694,0.000240316,0.000240316,0.000240316
40,47272.6,0.89067,0.73319,1.29862,0.94265,0.95172,0.96647,0.8243,0.6642,0.41481,1.09348,0.000206034,0.000206034,0.000206034
41,48421.8,0.50374,0.37188,1.0058,0.96789,0.9459,0.97613,0.84789,0.62736,0.3764,1.06687,0.000174262,0.000174262,0.000174262
42,49466.7,0.48232,0.34061,0.9968,0.96377,0.95674,0.97792,0.85119,0.6278,0.36783,1.06706,0.000145125,0.000145125,0.000145125
43,50510.2,0.47171,0.33073,0.99222,0.9578,0.96177,0.97796,0.85088,0.62806,0.36208,1.07688,0.000118737,0.000118737,0.000118737
